HYBRIDIZATION R	TCGA-AA-3841-01	TCGA-AA-3866-01	TCGA-AA-3870-01	TCGA-AA-3939-01	TCGA-AA-3941-01	TCGA-AA-3968-01	TCGA-AA-3970-01	TCGA-AA-3977-01	TCGA-AA-3979-01	TCGA-AA-3980-01
?|100130426	0	0	0	0	0	0	0	0	0	0
?|100133144	4	8	8	5	17	7	13	2	9	9
?|100134869	2	9	4	1	10	3	12	5	4	4
?|10357	16	115	119	121	190	126	62	57	86	147
?|10431	268	1073	819	1259	953	754	925	675	1808	1128
?|136542	0	0	0	0	0	0	0	0	0	0
?|155060	136	61	89	70	123	316	103	51	121	146
?|26823	0	0	0	6	2	2	3	1	2	1
?|280660	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	2	0	0	0	0	0	0	0
?|388795	2	0	19	0	3	0	10	3	1	0
?|390284	0	0	0	1	2	1	0	0	0	0
?|391343	0	0	0	0	0	0	0	0	0	0
?|391714	0	0	0	0	0	0	0	1	0	0
?|404770	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	1	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0
?|553137	0	0	0	4	1	0	1	0	0	0
?|57714	170	393	307	61	108	832	513	126	475	391
?|645851	4	9	7	7	10	27	13	11	15	11
?|652919	5	9	6	4	5	13	5	6	4	15
?|653553	413	127	1044	311	379	107	98	98	213	81
?|728045	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	2	0	0	0	0	0
?|728788	0	0	1	0	3	0	3	1	0	2
?|729884	0	0	86	31	0	0	1	3	0	4
?|8225	1722	649	1306	903	1011	938	838	502	1109	1149
?|90288	0	1	3	3	3	2	5	0	0	2
A1BG|1	28	48	54	77	28	22	55	17	6	31
A1CF|29974	112	211	51	176	342	177	200	30	180	65
A2BP1|54715	8	7	29	3	5	2	7	4	0	0
A2LD1|87769	142	165	183	456	184	183	267	332	213	239
A2ML1|144568	56	1	88	13	4	3	1	10	2	4
A2M|2	2226	6437	6712	2647	2191	7144	3776	1333	1120	4146
A4GALT|53947	119	182	264	62	86	161	67	29	46	90
A4GNT|51146	0	0	2	0	0	0	0	0	0	0
AAA1|404744	2	10	1	9	4	1	1	15	9	14
AAAS|8086	709	1051	711	763	808	1063	915	495	1181	921
AACSL|729522	0	0	2	0	3	0	2	0	0	0
AACS|65985	1091	1096	1652	1403	711	933	879	319	992	883
AADACL2|344752	0	0	0	0	1	0	0	0	1	0
AADACL3|126767	0	0	0	0	0	0	0	0	0	0
AADACL4|343066	0	0	0	0	0	0	0	0	0	0
AADAC|13	19	26	38	37	370	10	12	29	12	26
