"";"TCGA.OR.A5JZ";"TCGA.OR.A5L5";"TCGA.OR.A5JF";"TCGA.OR.A5LO";"TCGA.OR.A5KT";"TCGA.OR.A5L4";"TCGA.OR.A5KU";"TCGA.PK.A5H9";"TCGA.OR.A5JS";"TCGA.OR.A5LR";"TCGA.OR.A5LC";"TCGA.OR.A5JA";"TCGA.OR.A5JT";"TCGA.OR.A5J8";"TCGA.PA.A5YG";"TCGA.OR.A5LP";"TCGA.OR.A5LJ";"TCGA.OR.A5JL";"TCGA.OR.A5K4";"TCGA.OU.A5PI";"TCGA.OR.A5JJ";"TCGA.P6.A5OF";"TCGA.OR.A5K8";"TCGA.OR.A5L8"
"A1BG";8,39172070731034;8,76029635507116;6,58477738571782;6,57185157300758;8,02744228517379;7,89112764159237;9,26805206765466;7,82437487449391;5,84568643471606;8,43558641472741;6,75010973778785;7,0338573690205;7,56040982706431;7,0927212252254;6,90227780339197;6,70492764220943;8,17791103658115;5,42394009628305;5,56193554362069;6,26158738406614;6,21384458236964;6,94608083353616;6,70483016222959;7,24285019033842
"A2ML1";5,50760409771017;5,54342630103093;9,29820435474092;7,60632470882405;4,97496921595623;5,59248263913661;7,15712871219688;5,8249257782185;5,00314221878999;6,56598839603828;5,62985955769878;6,6148114525008;9,28960389069213;5,45170944896933;8,14122939476662;5,68926953500531;4,85264537923991;7,54893837472918;7,84300656027647;7,71816164308781;8,58915984495928;6,51336145632963;5,68387556327569;5,89873221029057
"A2M";13,0652759393792;14,2616886992082;13,9169753398335;13,2429889033558;14,7580690102139;14,8992712966698;12,6200135944803;19,103457811676;13,5448922124719;13,9487527777515;13,3913440602397;13,6016827026734;13,877569540106;15,7483646011898;14,8116268463362;14,9217333851529;13,0411130053005;13,7221856780516;12,5726229669742;13,3191709509944;13,5208846238345;13,5972143180068;13,8844058000937;12,0989235528142
"AACS";10,7586232767228;10,0926345729;11,097931800622;11,9361852832865;12,5652852764978;12,5965632856015;11,0662714058576;9,95605590181751;12,6868530873534;10,6382211092091;11,8906374467186;11,9495668497264;10,3895111165569;10,0050297822543;9,78387152305645;9,45770359260051;10,9874472611279;11,9575455132884;10,6808860187082;12,7156136495981;11,8771286017091;12,1604109842507;11,0006368760591;10,1345433228617
"AAGAB";10,6401454159702;10,6329739425029;11,0501544400325;11,05329776122;11,2812413304554;11,4284473385405;11,5248505063503;10,8617615526254;11,3594394831581;10,6062978843751;11,2176720455845;11,8046557603181;10,6687558416617;11,0045111410647;10,7955339101406;10,825765328047;10,3784708983968;12,3967176498569;10,6919582096173;10,9696106319905;11,2439399075165;10,8344628040742;10,7660210202367;10,4871294730838
"AASDHPPT";11,5240168947705;10,8647833087653;11,0374875187108;11,1784149518394;10,2307481040976;11,3592944147675;10,8744299033683;11,3225286701067;10,7428102343899;11,219951322516;10,050395075919;10,451653842256;11,3718031089919;9,73613422920741;10,7367805347654;10,9018299191992;10,355294353133;11,4662878560254;11,2079931443061;10,6929000045796;10,6547127099556;10,6200157932587;10,648684319789;11,0797383914044
"AASDH";9,31770767185106;8,52506674899189;9,50339369925068;9,13074998213141;8,68891890230542;8,68886707100825;9,77811829536228;9,35570995731312;8,91784115194806;9,28985491097772;8,86380523824741;8,92181228279055;9,98157378314121;8,20933096971682;8,59533857417111;8,73993788495086;7,10970764360736;9,59707907575937;10,1993306322566;9,6568365521819;9,77166334142546;9,23918945956023;8,59319621248;9,09661524608219
"ABAT";14,4171286061647;13,4596743625769;9,98432579210054;12,8326577809342;8,10728281831456;13,8321547360171;13,4033764904123;9,78308445083455;8,85326269675027;14,664149469156;11,491624499109;12,4859413983297;15,4887591484262;6,87883208293516;14,0031055560369;13,6126035968919;7,10016059129066;14,078446901811;14,8588475786127;12,5615891195721;9,76780642850457;9,59701213832442;13,1170550354258;12,0806186527273
"ABCA11P";7,73123567984182;7,85730251745981;8,0917387396588;7,03951864567043;6,10618723830857;7,77713547350589;7,87472171285994;8,00868868895541;6,42852102172622;7,44968679305083;7,17943077427312;7,18489500350794;8,18908630452927;7,66984793756433;7,26353733829414;7,45040175332884;7,5181349747127;7,93579627663786;7,64960910265859;7,57363949627509;8,2547763694828;7,67251656854569;8,25733367420635;7,82304142590891
"ABCA17P";7,78340865023397;6,84776831672778;6,90469723602135;6,70221355733112;6,30679178074337;6,95486941764735;7,45152661227456;5,78198527950949;5,98519016758476;8,14825964495525;7,29684027787895;6,97257143261782;7,88203393937597;5,19970944685116;6,38845509145769;6,88667668363871;5,59331716792502;6,17095472504996;8,08256348579759;6,26158738406614;7,18593330140058;9,93499777749735;7,26079905138846;6,11799031445042
"ABCA3";14,08231346778;13,0800045921828;12,6351356015761;11,22822782105;11,5260755601446;12,8665793377946;10,5737874641067;10,4650735692358;10,467355650255;13,820218267515;9,98930872184769;12,0774401535613;14,2428783711208;7,97609811885645;11,4839792240567;13,1468504195806;10,938912574531;11,5239914464123;15,2157993066818;12,5233070758567;10,8108513002473;11,8947099637968;12,9864999388524;11,0642939575766
"ABCA8";11,5803402640439;11,2829128355276;11,5493548462501;11,6139324706467;14,3856567099932;10,6653096745731;11,1570331284046;13,6622645665441;10,0887911443522;10,2871420660404;10,6182614642114;10,6693254613094;11,5716885032195;8,22408937624525;11,3196152029219;10,5663243220662;6,4759108575122;10,6160387832191;11,2028424801473;11,1510403353987;9,59426458238516;10,5399378676478;10,3807856894717;12,133864957674
"ABCB10";8,64584056240896;8,46920697423451;7,9126253102184;8,43917347801077;9,37418703832044;8,5526345584423;8,41036574453887;10,038599820962;9,26407278902874;8,00972476390064;8,92847146561098;8,79332338404014;8,28384693954092;8,95731921489046;8,69376759074392;8,35804228669217;9,12713585870088;8,67217831478212;8,71197216547853;8,11830254839593;8,31623058504234;8,86366507951676;8,01314460795613;8,85177333394912
"ABCB4";5,94606020235173;8,34634534481927;13,8074739198721;10,0354927159198;9,45976426317641;7,41438602620688;11,1212248977336;8,02776232818014;9,94259984870334;5,84565488473334;6,94188614069976;9,02521415265383;6,45518501250662;6,03243090618344;7,10384537667715;7,01966778318073;13,4763572529626;9,86627685208645;6,59378799596764;13,4626269674184;12,6598659983841;11,8967522570608;11,1069650382661;13,3485098361773
"ABCB6";9,29714426982697;9,84986626083242;10,1959271656362;10,9500793361094;10,6181906237919;8,60970973436396;10,8432062289024;8,70072574478538;11,0991901154734;9,17326916264676;10,8596815690485;10,3142766518307;9,79783461708436;10,9248358890966;9,52248489023859;9,65221649060897;10,6752595615548;11,0257164455877;9,44720638562948;10,6561207207212;10,9635681627118;10,7029011303943;10,6802261690572;9,59112737069584
"ABCC5";9,25206434713786;10,2517055897537;10,9140814448212;11,9170135203372;10,1812568752871;10,2628802384021;10,8711166602526;10,3374535411507;11,7631069207757;10,0944484727053;11,7086188677431;10,8070684346204;9,57706990708846;10,6954347609304;11,2543899101337;9,90273722355276;12,4646533504677;10,8079650764389;9,67462957157563;11,8074617215489;10,9265899603827;11,5324473047106;10,8023074333975;11,7321382911746
