A1BG	NCRNA00181
ACAT2	MVD
ADAP2	AIF1
ADAP2	C1QA
ADAP2	CD33
ADAP2	CD53
ADAP2	CYBB
ADAP2	FCER1G
ADAP2	GPSM3
ADAP2	HCK
ADAP2	HCLS1
ADAP2	ITGB2
ADAP2	LAIR1
ADAP2	MS4A6A
ADAP2	NCF4
ADAP2	NCKAP1L
ADAP2	NFAM1
ADAP2	PLEK
ADAP2	RASGRP4
ADAP2	SPI1
AGAP4	AGAP6
AIF1	ARHGAP30
AIF1	BIN2
AIF1	BTK
AIF1	C1QA
AIF1	C1QB
AIF1	C1QC
AIF1	CD33
AIF1	CD4
AIF1	CD53
AIF1	CORO1A
AIF1	CSF1R
AIF1	CYBB
AIF1	EVI2A
AIF1	EVI2B
AIF1	FCER1G
AIF1	FCGR2A
AIF1	FGD2
AIF1	GNA15
AIF1	GPSM3
AIF1	HCK
AIF1	HCLS1
AIF1	IKZF1
AIF1	IL10RA
AIF1	ITGB2
AIF1	LAIR1
AIF1	LCP2
AIF1	LST1
AIF1	LY86
AIF1	MS4A4A
AIF1	MS4A6A
AIF1	MS4A7
AIF1	MYO1F
AIF1	NCF4
AIF1	NCKAP1L
AIF1	NFAM1
AIF1	PARVG
AIF1	PLEK
AIF1	RASGRP4
AIF1	RNASE6
AIF1	SASH3
AIF1	SLA
AIF1	SPI1
AIF1	TBXAS1
AIF1	TNFAIP8L2
AIF1	TYROBP
AIF1	VSIG4
AIF1	WAS
ANLN	FOXM1
ANLN	KIF4A
ANLN	RACGAP1
ANXA2P1	ANXA2P2
ANXA2P2	ANXA2
AOAH	CD33
AOAH	CD53
AOAH	CSF1R
AOAH	CYBB
AOAH	EVI2B
AOAH	HCK
AOAH	IL10RA
AOAH	ITGB2
AOAH	MS4A6A
AOAH	MS4A7
AOAH	NCKAP1L
AOAH	SLCO2B1
AOAH	TBXAS1
APBB1IP	BIN2
APBB1IP	CORO1A
APBB1IP	CSF1R
APBB1IP	FYB
APBB1IP	HCLS1
APBB1IP	ITGB2
APBB1IP	LAIR1
APBB1IP	LY86
APBB1IP	PARVG
APBB1IP	SASH3
APBB1IP	SELPLG
APBB1IP	SPI1
APOB48R	LAT2
ARHGAP11B	CASC5
ARHGAP30	CD33
ARHGAP30	CSF1R
ARHGAP30	CYBB
ARHGAP30	GPSM3
ARHGAP30	HCK
ARHGAP30	IKZF1
ARHGAP30	IL10RA
ARHGAP30	ITGB2
ARHGAP30	LAIR1
ARHGAP30	MS4A6A
ARHGAP30	NCKAP1L
ARHGAP30	PLEK
ARHGAP30	SASH3
ARHGAP30	SLCO2B1
ARHGAP9	CD53
ARHGAP9	CORO1A
ARHGAP9	FCGR2A
ARHGAP9	GPSM3
ARHGAP9	ITGB2
ARHGAP9	LAIR1
ARHGAP9	MYO1F
ARHGAP9	SASH3
ARHGDIB	GIMAP4
ARHGDIB	GPSM3
ARHGEF5	OR2A7
ASPM	BUB1B
ASPM	BUB1
ASPM	CDC20
ASPM	CDCA2
ASPM	CDCA8
ASPM	CDK1
ASPM	CENPF
ASPM	CEP55
ASPM	CKAP2L
ASPM	DEPDC1
ASPM	DLGAP5
ASPM	DTL
ASPM	EXO1
ASPM	HJURP
ASPM	KIF11
ASPM	KIF14
ASPM	KIF18B
ASPM	KIF4A
ASPM	MKI67
ASPM	NDC80
ASPM	NUF2
ASPM	PBK
ASPM	PLK1
ASPM	SGOL1
ASPM	TOP2A
ASPM	TROAP
AURKB	BIRC5
AURKB	CDC20
AURKB	CDCA5
AURKB	CDK1
AURKB	CENPA
AURKB	CENPM
AURKB	CEP55
AURKB	DEPDC1
AURKB	HJURP
AURKB	KIF18B
AURKB	KIF2C
AURKB	KIFC1
AURKB	MKI67
AURKB	NDC80
AURKB	NUF2
AURKB	PLK1
AURKB	RRM2
AURKB	TOP2A
AURKB	TROAP
AURKB	UBE2C
BIN2	BTK
BIN2	CD4
BIN2	CD53
BIN2	CORO1A
BIN2	CSF1R
BIN2	EVI2A
BIN2	EVI2B
BIN2	FCER1G
BIN2	FYB
BIN2	GPSM3
BIN2	HCK
BIN2	HCLS1
BIN2	IKZF1
BIN2	IL10RA
BIN2	ITGB2
BIN2	LAIR1
BIN2	LCP2
BIN2	LST1
BIN2	LY86
BIN2	MS4A6A
BIN2	MYO1F
BIN2	NCF1
BIN2	NCKAP1L
BIN2	PARVG
BIN2	PLCB2
BIN2	RNASE6
BIN2	SASH3
BIN2	SELPLG
BIN2	SPI1
BIN2	TMC8
BIN2	TNFAIP8L2
BIN2	TYROBP
BIN2	WAS
BIRC5	CDCA5
BIRC5	CENPA
BIRC5	DEPDC1
BIRC5	NUF2
BIRC7	NKAIN4
BTK	C1QB
BTK	C1QC
BTK	CD33
BTK	CD4
BTK	CD53
BTK	CORO1A
BTK	CSF1R
BTK	CYBB
BTK	EVI2A
BTK	EVI2B
BTK	FCER1G
BTK	FCGR2A
BTK	GNA15
BTK	GPSM3
BTK	HCK
BTK	HCLS1
BTK	IKZF1
BTK	IL10RA
BTK	ITGB2
BTK	LAIR1
BTK	LY86
BTK	MS4A6A
BTK	MS4A7
BTK	MYO1F
BTK	NCKAP1L
BTK	PARVG
BTK	PLEK
BTK	RASGRP4
BTK	RNASE6
BTK	SAMSN1
BTK	SASH3
BTK	SELPLG
BTK	SPI1
BTK	TBXAS1
BTK	TYROBP
BUB1B	CDCA8
BUB1B	CKAP2L
BUB1B	DEPDC1
BUB1B	DLGAP5
BUB1B	ERCC6L
BUB1B	KIF11
BUB1B	KIF23
BUB1B	KIF4A
BUB1B	KIFC1
BUB1B	NUF2
BUB1B	PRC1
BUB1B	RAD51
BUB1	CDCA2
BUB1	CDCA5
BUB1	CDCA8
BUB1	CDK1
BUB1	CENPF
BUB1	CKAP2L
BUB1	DEPDC1
BUB1	DLGAP5
BUB1	EXO1
BUB1	KIF11
BUB1	KIF2C
BUB1	NEK2
BUB1	NUF2
BUB1	PBK
BUB1	RACGAP1
C10orf105	CDH23
C14orf156	NDUFB1
C1QA	C1QB
C1QA	C1QC
C1QA	CD33
C1QA	CD4
C1QA	CD53
C1QA	CSF1R
C1QA	FCER1G
C1QA	FCGR2A
C1QA	FGD2
C1QA	GNA15
C1QA	GPSM3
C1QA	HCK
C1QA	HCLS1
C1QA	IL10RA
C1QA	ITGB2
C1QA	LAIR1
C1QA	MS4A4A
C1QA	MS4A6A
C1QA	MS4A7
C1QA	NCF4
C1QA	NCKAP1L
C1QA	NFAM1
C1QA	PLEK
C1QA	RNASE6
C1QA	SLA
C1QA	SPI1
C1QA	TBXAS1
C1QA	TYROBP
C1QA	VSIG4
C1QB	C1QC
C1QB	CD4
C1QB	CD53
C1QB	CORO1A
C1QB	CSF1R
C1QB	CYBB
C1QB	EVI2B
C1QB	FCER1G
C1QB	FCGR2A
C1QB	GPSM3
C1QB	HCK
C1QB	HCLS1
C1QB	IL10RA
C1QB	ITGB2
C1QB	LAIR1
C1QB	MS4A4A
C1QB	MS4A6A
C1QB	MS4A7
C1QB	NCF4
C1QB	NCKAP1L
C1QB	NFAM1
C1QB	PLEK
C1QB	RNASE6
C1QB	SLA
C1QB	SPI1
C1QB	TBXAS1
C1QB	TYROBP
C1QB	VSIG4
C1QC	CD33
C1QC	CD4
C1QC	CD53
C1QC	CORO1A
C1QC	CSF1R
C1QC	CYBB
C1QC	EVI2B
C1QC	FCER1G
C1QC	FCGR2A
C1QC	FGD2
C1QC	GPSM3
C1QC	HCK
C1QC	HCLS1
C1QC	IL10RA
C1QC	ITGB2
C1QC	LAIR1
C1QC	LCP2
C1QC	LILRB4
C1QC	MS4A4A
