"","TCGA.OR.A5J1","TCGA.OR.A5J2","TCGA.OR.A5J3","TCGA.OR.A5J5","TCGA.OR.A5J6","TCGA.OR.A5J7","TCGA.OR.A5J9","TCGA.OR.A5JB","TCGA.OR.A5JC","TCGA.OR.A5JD","TCGA.OR.A5JE","TCGA.OR.A5JG","TCGA.OR.A5JI","TCGA.OR.A5JK","TCGA.OR.A5JM","TCGA.OR.A5JO","TCGA.OR.A5JP","TCGA.OR.A5JQ","TCGA.OR.A5JR","TCGA.OR.A5JV","TCGA.OR.A5JW","TCGA.OR.A5JX","TCGA.OR.A5JY","TCGA.OR.A5K0","TCGA.OR.A5K1","TCGA.OR.A5K2","TCGA.OR.A5K3","TCGA.OR.A5K5","TCGA.OR.A5K6","TCGA.OR.A5K9","TCGA.OR.A5KO","TCGA.OR.A5KV","TCGA.OR.A5KW","TCGA.OR.A5KX","TCGA.OR.A5KY","TCGA.OR.A5KZ","TCGA.OR.A5L3","TCGA.OR.A5L6","TCGA.OR.A5L9","TCGA.OR.A5LA","TCGA.OR.A5LB","TCGA.OR.A5LD","TCGA.OR.A5LE","TCGA.OR.A5LG","TCGA.OR.A5LH","TCGA.OR.A5LK","TCGA.OR.A5LL","TCGA.OR.A5LM","TCGA.OR.A5LN","TCGA.OR.A5LS","TCGA.OR.A5LT","TCGA.P6.A5OG","TCGA.PK.A5H8","TCGA.PK.A5HA","TCGA.PK.A5HB"
"ABCB6",3793,1130,1645,1224,1507,9538,3068,1802,669,1201,4205,1428,771,739,3605,1094,4722,1534,621,544,874,957,2004,937,274,2789,546,3356,1199,3926,790,2811,1864,2611,4188,1554,1593,305,203,746,2109,1182,2444,2598,1535,100,3256,991,593,192,1496,1245,343,136,1742
"AGAP8",182,113,34,507,27,95,116,77,52,58,57,107,56,114,189,49,75,23,10,45,83,151,130,51,41,46,10,91,112,122,31,98,25,131,276,143,45,69,7,15,222,141,132,142,17,17,123,119,75,71,43,129,119,119,121
"AIFM2",1701,4706,606,2862,2308,8753,3069,5547,5543,1805,2356,1056,457,1484,4201,945,3419,935,947,279,2268,2290,38,66,558,4946,653,4172,1499,1902,723,869,2698,1585,7008,780,1041,690,134,574,5577,713,2384,3406,1602,141,2287,3050,486,3295,238,1318,1000,212,3317
"ALG8",958,1694,1585,763,2279,3298,2170,2390,1345,1046,2746,1595,845,1156,2479,1099,2307,1866,1964,1020,1454,2105,2217,1502,1225,2155,714,1782,1264,1656,1433,2819,1555,1779,2697,1592,1367,855,242,1378,1461,998,2881,2937,2079,416,2100,1070,644,1269,1089,3123,1204,580,1228
"ANK3",24,137,213,237,1250,5,22,10,62,1456,69,12,868,113,7,546,57,828,1416,479,65,461,43,2,472,385,229,2,199,1,1817,997,973,1,109,16,19,133,6,59,238,13,8,228,78,240,53,487,231,14,1802,344,592,1468,12
"ARHGAP11A",176,631,203,400,88,2534,356,1657,503,108,702,720,100,286,1290,163,797,424,417,404,360,40,2108,536,321,307,115,270,252,522,1039,168,774,520,1668,1400,15,104,20,104,565,134,945,447,391,91,94,641,91,350,316,1608,442,156,2107
"ARHGAP32",2124,3806,1753,970,406,2485,990,1339,633,418,986,564,232,934,2306,1347,2346,698,836,613,1750,1082,2060,560,211,719,226,1595,766,1363,1007,986,1560,767,1995,449,656,211,49,209,1219,1068,1356,1564,622,238,2270,579,261,1583,585,984,345,302,1286
"ARNTL",1679,899,569,246,545,686,319,1000,245,140,541,525,79,359,1074,844,394,524,420,248,875,743,1215,1213,284,403,178,930,428,652,679,521,489,121,1335,336,191,30,6,85,634,357,966,1018,283,46,1151,478,27,169,204,345,536,216,317
"ASF1B",117,971,485,1325,660,4848,629,2235,1418,231,2329,1433,183,489,3250,247,1238,1429,477,229,251,86,2690,1879,818,843,383,1511,501,2434,2939,354,1083,2598,2506,2891,82,479,48,175,335,430,2674,822,313,142,82,454,85,214,793,1726,2822,322,2234
"ASPM",276,923,106,397,7,3023,378,2009,345,31,649,622,30,186,2316,144,913,281,225,205,46,5,1336,292,155,267,93,444,172,2257,1312,67,266,533,1605,1645,9,120,8,23,157,321,2462,385,32,19,18,163,24,450,248,1959,214,108,2527
"ATAD3B",1867,252,536,1095,617,668,684,3728,472,257,482,1149,107,594,544,571,718,331,47,228,620,603,762,784,394,294,346,514,212,845,566,1055,644,966,1151,1158,513,185,59,229,607,679,1881,930,660,113,577,505,215,362,227,3885,594,403,692
"ATAD5",51,93,37,70,16,184,78,163,54,56,42,54,34,31,327,55,18,98,77,60,51,37,293,44,22,36,11,23,33,126,113,54,44,115,131,194,16,45,3,9,23,26,55,59,23,20,36,16,12,29,117,306,137,60,90
"ATF4",7848,18586,8502,12693,5531,13464,13960,21063,6044,7142,9901,16741,2785,12587,18891,11950,23728,13179,4618,3130,9532,6084,9867,9320,8064,9928,6765,19067,15210,18880,8045,16423,9969,13069,22316,13714,15414,3783,2678,5377,18250,10169,24616,27373,12068,4943,11041,5599,4308,5274,4130,16453,7074,9704,10681
"ATPIF1",10149,3078,2873,6151,3826,7483,5099,6324,6334,3762,6217,7806,1911,3593,2853,3042,3877,3194,2758,3189,3154,4528,3090,3015,3577,5899,2446,4069,3268,2844,3696,8594,4959,3108,9932,1684,2946,2521,1506,4146,3895,5620,4944,6300,5284,1142,1810,5131,2093,3821,2967,3606,3373,3479,4837
"AURKA",423,1133,247,537,188,4011,509,2764,625,340,2946,787,168,506,2521,227,2122,766,651,588,230,110,1920,802,571,1278,400,2278,355,1231,784,394,566,737,2468,2316,91,474,43,142,377,327,2244,624,263,80,124,707,154,645,485,1208,950,264,1811
"AURKB",26,162,39,340,16,2445,75,1184,176,31,525,205,25,62,904,140,345,270,65,62,14,9,276,327,112,142,30,309,157,624,625,92,168,42,980,1846,7,81,4,34,59,179,237,311,14,10,2,67,12,80,207,1702,158,41,633
"BCAT1",1348,1281,252,449,579,2425,212,587,117,112,2156,712,112,84,233,777,801,160,81,293,1311,423,1117,651,40,4846,113,2007,817,679,246,261,140,81,1025,773,50,41,24,152,1915,57,94,179,321,72,656,171,61,252,53,4220,177,625,421
"BDH2",2022,2744,1772,2383,5933,1560,10913,828,3939,8831,1847,2433,5821,7635,1711,6614,1771,7867,7738,7039,7432,4738,1002,1618,3115,1146,1470,2168,2994,2570,4732,3268,13348,3883,2069,1457,3529,2215,365,11365,3877,982,811,3379,4715,1323,3422,5198,2086,4864,2872,1825,1424,1710,1606
"BIRC2",2439,2701,1544,1147,2114,4993,1807,2208,827,1199,2052,1594,510,946,3447,1961,2461,2117,1455,1243,1981,885,3709,2178,698,1832,491,2914,1308,1910,2014,2779,1568,1815,2331,1626,636,386,67,389,2349,416,3023,1860,1521,305,1816,958,378,1707,933,7030,1092,1027,2128
"BIRC5",104,170,92,1009,12,2191,162,3381,440,102,1726,554,54,131,1928,163,1977,441,189,107,33,11,1480,796,115,326,78,674,133,827,527,133,297,476,1799,1794,26,219,1,38,76,478,506,313,46,20,8,161,50,122,227,2195,265,110,1234
"BLM",38,78,10,149,193,259,50,538,81,25,103,78,16,42,387,91,113,105,39,62,25,27,152,88,42,65,14,93,58,143,100,34,80,88,303,335,9,28,4,10,38,57,205,26,175,44,7,26,18,20,35,564,75,43,467
